Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment
R,2021-06-19,01:05:00,2021-06-19,01:14:00,12,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-19,00:40:00,2021-06-19,00:53:00,39,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-18,23:50:00,2021-06-19,00:01:00,117,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-18,21:26:00,2021-06-18,21:53:00,16,27,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-06-18,21:26:00,2021-06-19,01:12:00,16,226,Machine Stopped by Operator,Planned Stop,CIL,Front web system,,,
R,2021-06-18,20:43:00,2021-06-18,21:10:00,89,27,Machine Stopped by Operator,,,,,,
R,2021-06-18,19:26:00,2021-06-18,20:48:00,12,82,Machine Stopped by Operator,End Of Line,Secondary Coding- Domino,Print head system,Blockage in printhead,,
R,2021-06-18,17:48:00,2021-06-18,19:14:00,70,86,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-18,17:43:00,2021-06-18,17:56:00,65,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-18,16:25:00,2021-06-18,16:38:00,0,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-18,16:12:00,2021-06-18,16:25:00,113,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
